TT,Ngành, Số dự án cấp mới , Vốn đăng ký cấp mới (triệu USD) , Số lượt dự án điều chỉnh ," Vốn đăng ký điều chỉnh
(triệu USD) ", Số lượt góp vốn mua cổ phần ," Giá trị góp vốn, mua cổ phần 
(triệu USD) ",Năm
84,Dịch vụ lưu trú và ăn uống,103, 39.05   ,23, 37.99   , 710 , 411.85   ,2019
85,Vận tải kho bãi,100, 122.38   ,24, 56.73   , 285 , 166.95   ,2019
86,Cấp nước và xử lý chất thải,6, 125.03   ,6, 78.22   , 19 , 46.02   ,2019
87,Y tế và hoạt động trợ giúp xã hội,6, 17.30   ,3, 2.93   , 41 , 191.22   ,2019
88,Hoạt động hành chính và dịch vụ hỗ trợ,63, 32.45   ,13, 9.96   , 238 , 81.20   ,2019
89,"Nông nghiêp, lâm nghiệp và thủy sản",16, 72.96   ,10, 7.43   , 54 , 18.93   ,2019
90,Giáo dục và đào tạo,71, 24.96   ,12, 9.36   , 172 , 30.30   ,2019
91,"Nghệ thuật, vui chơi và giải trí",6, 8.27   ,1, 2.65   , 26 , 51.81   ,2019
92,Hoạt động dịch vụ khác,11, 36.75   ,2, 2.20   , 31 , 8.12   ,2019
93,Khai khoáng,2, 1.90   ,2, 28.03   , 8 , 5.66   ,2019
94,Hoạt đông làm thuê các công việc trong các hộ gia đình,1, 0.43   ,,,,,2019
95,"Công nghiệp chế biến, chế tạo", 800 ," 7,190.77 ", 680 ," 4,593.86 "," 1,268 "," 1,816.46 ",2020
96,"Sản xuất, phân phối điện, khí, nước, điều hòa", 20 ," 5,080.81 ", 8 , (137.47), 45 , 199.22 ,2020
97,Hoạt động kinh doanh bất động sản, 70 , 987.41 , 32 ," 1,256.08 ", 229 ," 1,941.46 ",2020
98,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy", 704 , 431.18 , 164 , 234.24 ," 2,264 ", 980.21 ,2020
99,"Hoạt động chuyên môn, khoa học công nghệ", 376 , 169.30 , 87 , 114.30 , 825 ," 1,062.96 ",2020
100,Vận tải kho bãi, 59 , 169.23 , 19 , 43.17 , 155 , 399.53 ,2020
101,Xây dựng, 79 , 237.24 , 29 , 78.89 , 233 , 243.72 ,2020
102,Dịch vụ lưu trú và ăn uống, 57 , 106.13 , 15 , 27.72 , 399 , 207.62 ,2020
103,"Hoạt động tài chính, ngân hàng và bảo hiểm", 6 , 0.29 , 3 , 14.77 , 24 , 271.78 ,2020
104,Thông tin và truyền thông, 206 , 53.46 , 49 , 41.56 , 352 , 176.26 ,2020
105,"Nông nghiêp, lâm nghiệp và thủy sản", 12 , 103.09 , 16 , 79.65 , 29 , 27.90 ,2020
106,Giáo dục và đào tạo, 54 , 19.37 , 16 , 13.92 , 115 , 75.05 ,2020
107,Cấp nước và xử lý chất thải, 4 , 64.42 , -   , -   , 12 , 23.59 ,2020
108,Hoạt động dịch vụ khác, 4 , 3.42 , 7 , 36.74 , 18 , 3.61 ,2020
109,Hoạt động hành chính và dịch vụ hỗ trợ, 56 , 20.01 , 9 , 2.14 , 130 , 18.23 ,2020
110,Y tế và hoạt động trợ giúp xã hội, 9 , 4.49 , 4 , 12.66 , 27 , 15.42 ,2020
111,Khai khoáng, 1 , 0.41 , 1 , 0.68 , 12 , 5.28 ,2020
112,"Nghệ thuật, vui chơi và giải trí", 5 , 2.68 , 1 , 1.60 , 4 , 0.88 ,2020
113,Hoạt đông làm thuê các công việc trong các hộ gia đình, 1 , 2.70 , -   , -   , -   , -   ,2020
114,"Công nghiệp chế biến, chế tạo", 533 ," 7,251.98 ", 612 ," 7,346.30 ", 650 ," 3,522.60 ",2021
115,"Sản xuất, phân phối điện, khí, nước, điều hòa", 23 ," 5,316.16 ", 12 , 261.00 , 29 , 134.60 ,2021
116,Hoạt động kinh doanh bất động sản, 57 ," 1,390.03 ", 29 , 246.66 , 120 ," 1,000.73 ",2021
117,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy", 488 , 293.79 , 130 , 416.58 ," 1,338 ", 693.64 ,2021
118,"Hoạt động chuyên môn, khoa học công nghệ", 291 , 143.31 , 87 , 276.55 , 620 , 604.12 ,2021
119,Vận tải kho bãi, 53 , 426.37 , 14 , 40.47 , 118 , 316.96 ,2021
120,Xây dựng, 28 , 58.60 , 12 , 226.60 , 119 , 172.08 ,2021
121,Thông tin và truyền thông, 156 , 226.05 , 25 , 52.44 , 268 , 125.90 ,2021
122,Dịch vụ lưu trú và ăn uống, 23 , 41.59 , 15 , 21.44 , 322 , 104.57 ,2021
123,"Nông nghiêp, lâm nghiệp và thủy sản", 15 , 59.97 , 13 , 61.38 , 30 , 35.43 ,2021
124,Cấp nước và xử lý chất thải, 2 , 7.20 , 1 , 4.71 , 10 , 105.02 ,2021
125,"Hoạt động tài chính, ngân hàng và bảo hiểm", 1 , 4.50 , 1 , 30.47 , 21 , 24.66 ,2021
126,Giáo dục và đào tạo, 27 , 12.64 , 14 , 17.30 , 55 , 21.14 ,2021
127,Hoạt động hành chính và dịch vụ hỗ trợ, 38 , 11.83 , 14 , 11.72 , 66 , 22.98 ,2021
128,Y tế và hoạt động trợ giúp xã hội, 1 , 1.10 , 3 , 0.62 , 11 , 2.80 ,2021
129,Hoạt động dịch vụ khác, 1 , 0.15 , 2 , 0.40 , 9 , 3.05 ,2021
130,"Nghệ thuật, vui chơi và giải trí", 1 , 0.13 , -   , -   , 7 , 1.55 ,2021
131,Khai khoáng, -   , -   , 1 , 0.14 , 4 , 1.34 ,2021
132,"Công nghiệp chế biến, chế tạo", 511 ," 7,213 ", 644 ," 7,977.90 ", 471 ," 1,611.06 ",2022
133,Hoạt động kinh doanh bất động sản, 75 ," 1,816 ", 37 ," 1,059.28 ", 103 ," 1,576.55 ",2022
134,"Sản xuất, phân phối điện, khí, nước, điều hòa", 11 ," 2,101 ", 6 , 70.74 , 17 , 89.97 ,2022
135,"Hoạt động chuyên môn, khoa học công nghệ", 331 , 249 , 106 , 172.43 , 603 , 867.90 ,2022
136,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy", 611 , 318 , 151 , 297.36 ," 1,417 ", 394.85 ,2022
137,Thông tin và truyền thông, 241 , 183 , 52 , 310.73 , 305 , 161.64 ,2022
138,Vận tải kho bãi, 72 , 356 , 16 , 46.78 , 133 , 35.81 ,2022
139,Giáo dục và đào tạo, 36 , 12 , 16 , 136.78 , 51 , 104.70 ,2022
140,Xây dựng, 32 , 94 , 23 , 35.54 , 77 , 117.90 ,2022
141,"Nông nghiêp, lâm nghiệp và thủy sản", 12 , 30 , 5 , 11.67 , 16 , 26.70 ,2022
142,Hoạt động hành chính và dịch vụ hỗ trợ, 54 , 24 , 22 , 12.50 , 70 , 27.65 ,2022
143,"Hoạt động tài chính, ngân hàng và bảo hiểm", 8 , 29 , 1 , 24.69 , 13 , 3.81 ,2022
144,Cấp nước và xử lý chất thải, 3 , 2 , 1 , 16.00 , 7 , 39.44 ,2022
145,Y tế và hoạt động trợ giúp xã hội, 2 , 10 , 4 , 1.71 , 11 , 9.02 ,2022
146,Khai khoáng, 1 , 2 , -   , -   , 3 , 17.09 ,2022
147,Dịch vụ lưu trú và ăn uống, 33 , 8 , 18 , (59.82), 240 , 63.71 ,2022
148,Hoạt động dịch vụ khác, 2 , 0 , 4 , 3.37 , 17 , 2.24 ,2022
149,"Nghệ thuật, vui chơi và giải trí", 1 , 0 , 1 , 0.15 , 11 , 3.50 ,2022
150,Hoạt đông làm thuê các công việc trong các hộ gia đình, -   , -   , -   , -   , 1 , 0.55 ,2022
